commit,mean_rank,frac_interpretability_tests_passed,status,model_name,description
baseline,9.06,0.4186,baseline,PyGAM,generalized additive model with 10 splines per feature and default settings
baseline,15.31,0.6744,baseline,DT_mini,small decision tree with up to 8 max_leaf_nodes
baseline,14.83,0.5349,baseline,DT_large,large decision tree with up to 20 max_leaf_nodes
baseline,12.31,0.7442,baseline,OLS,ordinary least squares linear regression
baseline,12.78,0.5349,baseline,LassoCV,Lasso linear model with cross-validation to select the regularization parameter
baseline,12.34,0.7674,baseline,RidgeCV,Ridge linear model with cross-validation to select the regularization parameter
baseline,7.89,0.2326,baseline,RF,"random forest with 50 tree estimators, each with max_depth of 5"
baseline,7.40,0.5349,baseline,GBM,"gradient boosting machine with 100 tree estimators, each with max_depth of 3"
baseline,15.83,0.1628,baseline,MLP,"multi-layer perceptron with default hidden layer size, ReLU activation, and Adam solver"
baseline,13.38,0.3953,baseline,FIGS_mini,small FIGS with up to 8 max_rules
baseline,12.97,0.5814,baseline,FIGS_large,large FIGS with up to 20 max_rules
baseline,10.72,0.2791,baseline,RuleFit,RuleFit with up to 20 max_rules
baseline,14.75,0.7674,baseline,HSTree_mini,small HSTree with up to 8 max_leaf_nodes
baseline,12.29,0.6744,baseline,HSTree_large,large HSTree with up to 20 max_leaf_nodes
baseline,5.71,0.0465,baseline,EBM,explainable boosting machine (InterpretML) with 3 outer bags and 1000 max rounds
baseline,3.72,0.0698,baseline,TabPFN,TabPFN foundation model for tabular data
a0b1827,13.60,0.6047,keep,DecisionTreeSimple,Baseline interpretable regressor (shallow decision tree)
e3c5778,7.18,0.5116,keep,SparseHingeLinear,LassoCV over linear + pos/neg hinge basis (3 knots per feature at interior quantiles); display is flat sorted equation.
0395cba,7.97,0.6744,keep,PiecewiseGAM3Knots_sorted,PiecewiseLinearGAM with 3 knots + features sorted by importance in display.
54026b0,9.98,0.7209,keep,LinearPlusStumps12,RidgeCV linear + up to 12 additive stumps on residuals (more stumps for better rank).
8f9e527,10.95,0.7442,keep,AdaptiveSelector,Selects between LinearPlusStumps with 0/4/12 stumps via 3-fold CV. Adapts complexity per dataset.
efa2047,11.92,0.6047,discard,LinearPlusStumps_examples,LinearPlusStumps12 with 3 worked example predictions in display for LLM arithmetic calibration.
500a0a6,15.34,0.5349,discard,BinnedGAM,"Binned additive model: per-feature lookup tables (5 quantile bins), LassoCV-selected bin contributions."
50e3d1a,7.06,0.5349,discard,CleanHingeLinear,"Two-stage: LassoCV select hinge basis, prune terms with <3% of max effect, OLS debias. Cleaner equation for LLM simulation."
cd10ee9,7.94,0.5116,discard,SmartKnotLinear,"Linear base + at most one data-driven hinge per feature (added only if it cuts residual SSE >=1%), LassoCV select, OLS debias."
090b910,11.68,0.6977,discard,SparseLinearOLSStyle,"Pure linear: LassoCV select, OLS debias, OLS-style display. Upper-bound test: does matching OLS display format close the interp gap?"
