commit,mean_rank,frac_interpretability_tests_passed,status,model_name,description
baseline,6.89,0.4186,baseline,PyGAM,generalized additive model with 10 splines per feature and default settings
baseline,11.65,0.7209,baseline,DT_mini,small decision tree with up to 8 max_leaf_nodes
baseline,11.29,0.6047,baseline,DT_large,large decision tree with up to 20 max_leaf_nodes
baseline,8.98,0.7442,baseline,OLS,ordinary least squares linear regression
baseline,9.45,0.5349,baseline,LassoCV,Lasso linear model with cross-validation to select the regularization parameter
baseline,8.94,0.7674,baseline,RidgeCV,Ridge linear model with cross-validation to select the regularization parameter
baseline,5.75,0.2093,baseline,RF,"random forest with 50 tree estimators, each with max_depth of 5"
baseline,5.46,0.5581,baseline,GBM,"gradient boosting machine with 100 tree estimators, each with max_depth of 3"
baseline,12.05,0.1628,baseline,MLP,"multi-layer perceptron with default hidden layer size, ReLU activation, and Adam solver"
baseline,10.14,0.3953,baseline,FIGS_mini,small FIGS with up to 8 max_rules
baseline,9.72,0.5814,baseline,FIGS_large,large FIGS with up to 20 max_rules
baseline,8.00,0.3256,baseline,RuleFit,RuleFit with up to 20 max_rules
baseline,11.09,0.7674,baseline,HSTree_mini,small HSTree with up to 8 max_leaf_nodes
baseline,9.26,0.7209,baseline,HSTree_large,large HSTree with up to 20 max_leaf_nodes
baseline,4.32,0.0465,baseline,EBM,explainable boosting machine (InterpretML) with 3 outer bags and 1000 max rounds
baseline,3.00,0.0698,baseline,TabPFN,TabPFN foundation model for tabular data
4549fe9,10.72,0.6279,discard,DecisionTreeSimple,Baseline interpretable regressor (shallow decision tree)
be42d0f,9.94,0.5349,discard,BoostedRidgeTree,RidgeCV linear model + shallow tree on residuals for nonlinear correction
4e6b39c,11.89,0.4419,discard,BinnedAdditive,"Additive model with 5 quantile bins per feature, Ridge-regularized"
5d3bc50,12.60,0.5581,discard,TreeGAM_custom,Custom TreeGAM: one shallow tree per feature fitted via backfitting
f116e73,11.12,0.5349,discard,HingeLinear,"Ridge on linear + hinge(max(0,xi)) features for piecewise-linear effects"
0984376,9.49,0.5349,discard,InteractionRidge,Standardized Ridge with top-5 residual-correlated pairwise interactions
64203f1,11.55,0.5814,discard,SparsePoly,Degree-2 polynomial features + LassoCV sparsity (Ridge fallback for >15 features)
55ae851,12.38,0.7442,discard,ScaledRidge,"RidgeCV with StandardScaler preprocessing, displayed in original scale"
16fec1c,9.80,0.7674,discard,SmartRidge,RidgeCV with correlation-based feature selection for high-dim data
d3539b1,10.11,0.7209,discard,SparseLinear,ElasticNetCV sparse linear model with explicit equation display
242b61a,12.29,0.6512,discard,StumpBoost,GBM with depth-1 stumps (n=30) displayed as per-feature step functions
d1b8b12,8.46,0.5814,keep,RidgePlusStumps,RidgeCV + 3 greedy depth-1 stump corrections on residuals
12d4210,9.00,0.6279,discard,RidgePlus1Stump,RidgeCV + 1 depth-1 stump correction on residual
a027c9f,8.78,0.6512,keep,RidgePlus2Stumps,RidgeCV + 2 depth-1 stump corrections on residuals
f96edd6,8.45,0.4186,discard,RidgePlus5Stumps,RidgeCV + 5 depth-1 stump corrections on residuals
9b40b80,8.78,0.5814,discard,RidgeStumps_v2,RidgeCV + 2 stumps with improved step-by-step display
8a1f57d,8.86,0.5581,discard,RidgeTree2,RidgeCV + depth-2 tree (max 4 leaves) on residuals
d40e229,8.74,0.5581,discard,RidgeGBM2,RidgeCV + 2 GBM-boosted stump corrections on residuals
0da7540,8.78,0.6512,keep,RidgePlus2Stumps_v2,RidgeCV + 2 greedy stump corrections on residuals (confirmed run)
4990b62,8.43,0.4884,discard,RidgeShrunkStumps4,RidgeCV + 4 greedy stumps with 0.5 learning rate on residuals
01fdf62,8.43,0.6279,keep,ThreshRidge,Ridge with 2 auto-detected threshold indicators in equation
c3aecb7,8.23,0.6047,keep,ThreshRidge3,Ridge with 3 auto-detected threshold indicators in equation
71a75a8,8.15,0.5116,discard,ThreshRidge4,Ridge with 4 auto-detected threshold indicators in equation
2014807,8.23,0.6047,keep,ThreshRidge3_final,Ridge + 3 auto-detected threshold indicators (best Pareto rank)
509f1ff,8.55,0.5814,,ThreshRidge3_sel,Ridge + 3 threshold indicators + feature selection (max 12 features)
cf6cffd,8.37,0.4651,,ThreshRidge2_Stump1,ThreshRidge (2 indicators) + 1 greedy stump hybrid
457f641,8.40,0.6047,,ThreshRidge3_best,Ridge + 3 auto-detected threshold indicators — best Pareto model
592dd73,7.69,0.5116,,QuadRidge2,Ridge + x^2 terms for top 2 nonlinear features
9ad301d,8.32,0.6279,,QuadRidge1,Ridge + x^2 for top 1 nonlinear feature
88e7244,7.95,0.4884,,QuadThresh,Ridge + 1 quadratic + 2 threshold indicators combined
707f21a,8.08,0.5349,,QuadThresh1_1,Ridge + 1 quadratic + 1 threshold indicator (2 extra terms)
b74a79c,7.69,0.4884,,QuadRidge2_v2,Ridge + x^2 for top 2 features with improved display hint
bf71715,8.58,0.5349,,InteractRidge1,Ridge + 1 best pairwise interaction term xi*xj
2382562,8.35,0.5116,,QuadStump1_1,Ridge + 1 quadratic feature + 1 stump on residual
74f362d,9.22,0.6512,,AbsRidge1,Ridge + |x| for top 1 nonlinear feature (V-shaped effects)
8bf49d3,9.34,0.6744,,AbsRidge1,Ridge + |x| for top 2 nonlinear features
62bf97b,9.38,0.6047,,AbsRidge1,Ridge + |x| for top 3 nonlinear features
66641ad,8.89,0.4651,,AbsRidge1,QuadRidge1 with rounded coefficients for simpler arithmetic
76a1625,8.09,0.5814,,AbsRidge1,"Ridge + 1 learned-threshold hinge max(0, x-t)"
64a9481,7.83,0.5349,,AbsRidge1,"Ridge + 2 learned-threshold hinges max(0, x-t)"
840f264,7.74,0.4419,,AbsRidge1,"Ridge + 3 learned-threshold hinges max(0, x-t)"
920b6e9,10.82,0.5349,,AbsRidge1,LassoCV on linear + quadratic features (no interactions)
