commit,mean_rank,frac_interpretability_tests_passed,status,model_name,description
baseline,6.89,0.4186,baseline,PyGAM,generalized additive model with 10 splines per feature and default settings
baseline,11.65,0.6744,baseline,DT_mini,small decision tree with up to 8 max_leaf_nodes
baseline,11.29,0.5349,baseline,DT_large,large decision tree with up to 20 max_leaf_nodes
baseline,8.98,0.7442,baseline,OLS,ordinary least squares linear regression
baseline,9.45,0.5349,baseline,LassoCV,Lasso linear model with cross-validation to select the regularization parameter
baseline,8.94,0.7674,baseline,RidgeCV,Ridge linear model with cross-validation to select the regularization parameter
baseline,5.75,0.2326,baseline,RF,"random forest with 50 tree estimators, each with max_depth of 5"
baseline,5.46,0.5349,baseline,GBM,"gradient boosting machine with 100 tree estimators, each with max_depth of 3"
baseline,12.05,0.1628,baseline,MLP,"multi-layer perceptron with default hidden layer size, ReLU activation, and Adam solver"
baseline,10.14,0.3953,baseline,FIGS_mini,small FIGS with up to 8 max_rules
baseline,9.72,0.5814,baseline,FIGS_large,large FIGS with up to 20 max_rules
baseline,8.00,0.2791,baseline,RuleFit,RuleFit with up to 20 max_rules
baseline,11.09,0.7674,baseline,HSTree_mini,small HSTree with up to 8 max_leaf_nodes
baseline,9.26,0.6744,baseline,HSTree_large,large HSTree with up to 20 max_leaf_nodes
baseline,4.32,0.0465,baseline,EBM,explainable boosting machine (InterpretML) with 3 outer bags and 1000 max rounds
baseline,3.00,0.0698,baseline,TabPFN,TabPFN foundation model for tabular data
d4f7b32,10.72,0.6279,,DecisionTreeSimple,Baseline interpretable regressor (shallow decision tree)
b975700,7.20,0.2558,discard,HingeBasisRidge_v1,Ridge regression on hinge basis functions with data-driven knots from stumps + quantiles
43fae87,8.85,0.4419,discard,BoostedStumpGAM_v1,Additive model from boosted stumps with per-feature shape function display as GAM
1a7af66,14.48,0.4419,discard,BinnedRidgeGAM_v1,Quantile-binned Ridge GAM: step-function GAM via one-hot bin encoding + Ridge
13245e5,9.11,0.5349,discard,SparsePolyRidge_v1,"Sparse polynomial Ridge: Lasso-selected x+x² features, Ridge refit, linear equation display"
855af35,11.46,0.4419,discard,CyclicBoostGAM_v1,EBM-style cyclic boosting GAM with adaptive linear/table display per feature
57486dd,11.48,0.6279,discard,ResidualBoostedRidge_v1,Ridge linear model + greedy threshold correction rules on residuals
f299026,11.66,0.4651,discard,ThreshAugRidge_v1,"Ridge on original features + stump-discovered threshold indicators, OLS-style display"
353a1c9,14.23,0.6977,discard,HuberRidgeIRLS_v1,"Robust Huber-loss Ridge via IRLS with CV alpha selection, OLS-style display"
d452626,nan,0.6977,discard,FwdStepRidge_v1,"Forward stepwise feature selection + Ridge, sparse OLS-style display"
